,id,column_min,column_max,row_min,row_max,center,center_column,center_row,height,width,area,class,alignment,group_nontext,group_text,pair_to,pair
27,27,546,554,224,229,"(550.0, 226.5)",550.0,226.5,5,8,40,Compo,v,-1,-1,-1,-1
0,0,0,635,0,800,"(317.5, 400.0)",317.5,400.0,800,635,508000,Background,,-1,-1,-1,-1
1,1,0,633,0,10,"(316.5, 5.0)",316.5,5.0,10,633,6330,Compo,,-1,-1,-1,-1
3,3,133,434,20,42,"(283.5, 31.0)",283.5,31.0,22,301,6622,Compo,,-1,-1,-1,-1
6,6,24,52,53,63,"(38.0, 58.0)",38.0,58.0,10,28,280,Compo,,-1,-1,-1,-1
14,14,460,600,85,172,"(530.0, 128.5)",530.0,128.5,87,140,12180,Compo,,-1,-1,-1,-1
16,16,23,433,86,221,"(228.0, 153.5)",228.0,153.5,135,410,55350,Compo,,-1,-1,-1,-1
18,18,462,576,175,189,"(519.0, 182.0)",519.0,182.0,14,114,1596,Compo,,-1,-1,-1,-1
63,63,224,232,770,778,"(228.0, 774.0)",228.0,774.0,8,8,64,Compo,,-1,-1,-1,-1
2,2,21,110,19,42,"(65.5, 30.5)",65.5,30.5,23,89,2047,Text,v,-1,-1,-1,-1
15,15,603,611,85,94,"(607.0, 89.5)",607.0,89.5,9,8,72,Compo,v,3,-1,-1,-1
17,17,603,610,100,107,"(606.5, 103.5)",606.5,103.5,7,7,49,Compo,v,3,-1,-1,-1
4,4,510,548,25,38,"(529.0, 31.5)",529.0,31.5,13,38,494,Compo,h,6,-1,-1,-1
5,5,567,597,27,37,"(582.0, 32.0)",582.0,32.0,10,30,300,Compo,h,6,-1,-1,-1
7,7,69,87,55,61,"(78.0, 58.0)",78.0,58.0,6,18,108,Text,h,-1,0,-1,-1
8,8,105,131,55,61,"(118.0, 58.0)",118.0,58.0,6,26,156,Text,h,-1,0,-1,-1
9,9,148,166,56,62,"(157.0, 59.0)",157.0,59.0,6,18,108,Text,h,-1,0,-1,-1
10,10,183,212,55,62,"(197.5, 58.5)",197.5,58.5,7,29,203,Text,h,-1,0,-1,-1
11,11,229,275,55,61,"(252.0, 58.0)",252.0,58.0,6,46,276,Text,h,-1,0,-1,-1
12,12,292,321,55,61,"(306.5, 58.0)",306.5,58.0,6,29,174,Text,h,-1,0,-1,-1
13,13,338,360,55,61,"(349.0, 58.0)",349.0,58.0,6,22,132,Text,h,-1,0,-1,-1
19,19,461,509,207,214,"(485.0, 210.5)",485.0,210.5,7,48,336,Text,v,-1,6,-1,-1
41,41,461,510,282,289,"(485.5, 285.5)",485.5,285.5,7,49,343,Text,v,-1,6,-1,-1
54,54,464,595,433,459,"(529.5, 446.0)",529.5,446.0,26,131,3406,Text,v,-1,6,-1,-1
44,44,460,493,300,333,"(476.5, 316.5)",476.5,316.5,33,33,1089,Compo,v,4,-1,45,1
46,46,460,493,340,373,"(476.5, 356.5)",476.5,356.5,33,33,1089,Compo,v,4,-1,47,1
50,50,460,493,379,412,"(476.5, 395.5)",476.5,395.5,33,33,1089,Compo,v,4,-1,51,1
45,45,499,591,301,328,"(545.0, 314.5)",545.0,314.5,27,92,2484,Text,v,-1,7,44,1
47,47,499,577,341,361,"(538.0, 351.0)",538.0,351.0,20,78,1560,Text,v,-1,7,46,1
51,51,499,580,380,407,"(539.5, 393.5)",539.5,393.5,27,81,2187,Text,v,-1,7,50,1
42,42,23,126,290,348,"(74.5, 319.0)",74.5,319.0,58,103,5974,Compo,v,5,-1,43,2
48,48,23,126,359,417,"(74.5, 388.0)",74.5,388.0,58,103,5974,Compo,v,5,-1,49,2
52,52,23,126,427,485,"(74.5, 456.0)",74.5,456.0,58,103,5974,Compo,v,5,-1,53,2
55,55,23,126,495,554,"(74.5, 524.5)",74.5,524.5,59,103,6077,Compo,v,5,-1,56,2
57,57,23,126,564,622,"(74.5, 593.0)",74.5,593.0,58,103,5974,Compo,v,5,-1,58,2
59,59,23,126,632,690,"(74.5, 661.0)",74.5,661.0,58,103,5974,Compo,v,5,-1,60,2
61,61,23,126,701,759,"(74.5, 730.0)",74.5,730.0,58,103,5974,Compo,v,5,-1,62,2
43,43,137,394,291,330,"(265.5, 310.5)",265.5,310.5,39,257,10023,Text,v,-1,8,42,2
49,49,136,391,359,401,"(263.5, 380.0)",263.5,380.0,42,255,10710,Text,v,-1,8,48,2
53,53,138,360,429,470,"(249.0, 449.5)",249.0,449.5,41,222,9102,Text,v,-1,8,52,2
56,56,137,397,496,547,"(267.0, 521.5)",267.0,521.5,51,260,13260,Text,v,-1,8,55,2
58,58,137,394,565,614,"(265.5, 589.5)",265.5,589.5,49,257,12593,Text,v,-1,8,57,2
60,60,137,378,634,664,"(257.5, 649.0)",257.5,649.0,30,241,7230,Text,v,-1,8,59,2
62,62,137,393,702,731,"(265.0, 716.5)",265.0,716.5,29,256,7424,Text,v,-1,8,61,2
33,33,460,478,254,259,"(469.0, 256.5)",469.0,256.5,5,18,90,Compo,h,7,-1,31,3
34,34,539,552,254,259,"(545.5, 256.5)",545.5,256.5,5,13,65,Compo,h,7,-1,30,3
35,35,580,595,254,259,"(587.5, 256.5)",587.5,256.5,5,15,75,Compo,h,7,-1,32,3
29,29,499,519,235,259,"(509.0, 247.0)",509.0,247.0,24,20,480,Compo,h,8,-1,26,3
30,30,540,559,235,251,"(549.5, 243.0)",549.5,243.0,16,19,304,Compo,h,8,-1,34,3
