,bx,by,bw,bh,element
0,24,16,24,24,button
1,424,12,65,32,button
2,517,16,24,24,button
3,565,16,24,24,button
4,613,16,24,24,button
5,355,327,24,24,button
6,691,327,24,24,button
7,355,644,24,24,button
8,691,644,24,24,button
9,355,1037,24,24,button
10,691,1037,24,24,button
11,375,1149,24,24,button
12,355,1422,24,24,button
13,691,1422,24,24,button
14,355,1815,24,24,button
15,691,1815,24,24,button
16,375,1927,24,24,button
17,355,2200,24,24,button
18,691,2200,24,24,button
19,683,2346,24,24,button
20,699,2450,24,24,button
21,355,2832,24,24,button
22,691,2832,24,24,button
23,355,3246,24,24,button
24,691,3246,24,24,button
25,375,3358,24,24,button
26,355,3631,24,24,button
27,691,3631,24,24,button
28,355,3948,24,24,button
29,691,3948,24,24,button
30,355,4265,24,24,button
31,691,4265,24,24,button
32,355,4582,24,24,button
33,691,4582,24,24,button
34,355,4899,24,24,button
35,691,4899,24,24,button
36,59,132,320,180,img
37,59,327,36,36,img
38,395,132,320,180,img
39,395,327,36,36,img
40,59,449,320,180,img
41,59,644,36,36,img
42,395,449,320,180,img
43,395,644,36,36,img
44,59,842,320,180,img
45,395,842,320,180,img
46,222,15,204,26,input
